C2H2             1   265.300    3.721    0.000    0.000    2.500 ! NMM
C2H3             2   265.300    3.721    0.000    0.000    1.000 ! NMM
C2H4             2   238.400    3.496    0.000    0.000    1.500 ! NMM
C2H5             2   247.500    4.350    0.000    0.000    1.500 ! NMM
C2H5O2           2   470.600    4.410    0.000    0.000    1.500 ! WJP
C2H5O            2   470.600    4.410    0.000    0.000    1.500 ! NMM
C2H6             2   247.500    4.350    0.000    0.000    1.500 ! NMM
C3H2             2   209.000    4.100    0.000    0.000    1.000 ! *
C3H3             1   324.800    4.290    0.000    0.000    1.000 ! NMM
CH3CHCO          2   443.200    4.120    0.000    0.000    1.000 ! NMM
C2H3CO           2   443.200    4.120    0.000    0.000    1.000 ! NMM
C2H5CO           2   424.600    4.820    0.000    0.000    1.000 ! NMM
CH3COCH3         2   435.500    4.860    0.000    0.000    1.000 ! NMM
CH3COCH2         2   435.500    4.860    0.000    0.000    1.000 ! NMM
C3H4-A           1   324.800    4.290    0.000    0.000    1.000 ! ALLENE, NMM
C3H4-P           1   324.800    4.290    0.000    0.000    1.000 ! NMM
C3H6             2   307.800    4.140    0.000    0.000    1.000 ! NMM
C3H5O            2   411.000    4.820    0.000    0.000    1.000 ! NMM
IC3H7            2   303.400    4.810    0.000    0.000    1.000 ! NMM
IC4H7            2   355.000    4.650    0.000    0.000    1.000 ! NMM
IC4H8            2   344.500    5.089    0.500    0.000    1.000 !  WJP:  IC4H8, TCPC, POLING 4TH ED.
SC4H9            2   352.000    5.240    0.000    0.000    1.000 ! NMM
TC4H9            2   352.000    5.240    0.000    0.000    1.000 ! NMM
IC4H9            2   352.000    5.240    0.000    0.000    1.000 ! NMM
TC4H9O           2   496.000    5.200    0.000    0.000    1.000 ! NMM
IC4H7O           2   496.000    5.200    0.000    0.000    1.000 ! NMM
CH2              1   144.000    3.800    0.000    0.000    0.000 
CH2(S)           1   144.000    3.800    0.000    0.000    0.000 
C3H5-A           2   316.000    4.220    0.000    0.000    1.000 
CH2CO            2   314.300    4.191    1.400    0.000    2.000 !  WJP:  KETENE, TCPC, POLING 4TH ED. ROT NO. FROM CHEMKIN TRANPORT DATABASE
C2H3O1-2         2   436.000    3.970    0.000    0.000    2.000 ! WJP SAME AS CH2CO
CH2O             2   498.000    3.590    0.000    0.000    2.000 
OCHO             2   498.000    3.590    0.000    0.000    2.000 ! WJP
CH2OH            2   417.000    3.690    1.700    0.000    2.000 
CH3              1   144.000    3.800    0.000    0.000    0.000 
C3H5-T           2   316.000    4.220    0.000    0.000    1.000 
C3H5-S           2   316.000    4.220    0.000    0.000    1.000 
CH3CHO           2   436.000    3.970    0.000    0.000    2.000 
CH3CO            2   436.000    3.970    0.000    0.000    2.000 
HO2CHO           2   436.000    3.970    0.000    0.000    2.000 ! WJP
O2CHO            2   436.000    3.970    0.000    0.000    2.000 ! WJP
CH3O             2   417.000    3.690    1.700    0.000    2.000 
CH3O2            2   481.800    3.626    0.000    0.000    1.000 ! WJP
CH3O2H           2   481.800    3.626    0.000    0.000    1.000 ! WJP
CH4              2   141.400    3.746    0.000    2.600   13.000 
CO               1    98.100    3.650    0.000    1.950    1.800 
CO2              1   244.000    3.763    0.000    2.650    2.100 
H                0   145.000    2.050    0.000    0.000    0.000 
H2               1    38.000    2.920    0.000    0.790  280.000 
H2O              2   572.400    2.605    1.844    0.000    4.000 
H2O2             2   107.400    3.458    0.000    0.000    3.800 
HCCO             2   150.000    2.500    0.000    0.000    1.000 ! *
HCO              2   498.000    3.590    0.000    0.000    0.000 
HO2              2   107.400    3.458    0.000    0.000    1.000 ! *
N2               1    97.530    3.621    0.000    1.760    4.000 
O                0    80.000    2.750    0.000    0.000    0.000 
O2               1   107.400    3.458    0.000    1.600    3.800 
OH               1    80.000    2.750    0.000    0.000    0.000 
IC8H18           2   458.500    6.414    0.000    0.000    1.000 !   WJP
AC8H17           2   458.500    6.414    0.000    0.000    1.000 !   WJP
BC8H17           2   458.500    6.414    0.000    0.000    1.000 !   WJP
CC8H17           2   458.500    6.414    0.000    0.000    1.000 !   WJP
DC8H17           2   458.500    6.414    0.000    0.000    1.000 !   WJP
CC8H17O          2   581.300    6.506    2.000    0.000    1.000 !   WJP
IC8H16           2   485.600    6.440    0.300    0.000    1.000 !   WJP
JC8H16           2   485.600    6.440    0.300    0.000    1.000 !   WJP
YC7H15           2   437.300    6.168    0.000    0.000    1.000 !   WJP
XC7H14           2   439.200    6.151    0.000    0.000    1.000 !   WJP
YC7H14           2   439.200    6.151    0.000    0.000    1.000 !   WJP
TC4H9CHO         2   476.000    5.778    2.600    0.000    1.000 !   NC4H9CHO
TC4H9CO          2   476.000    5.778    2.600    0.000    1.000 !   NC4H9CHO
YC7H15O2         2   561.000    6.317    1.700    0.000    1.000 !   WJP, C7H15OH-1
AC8H17O2         2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
BC8H17O2         2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
CC8H17O2         2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
DC8H17O2         2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
CC8H17O2H        2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
AC8H16OOH-A      2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
AC8H16OOH-B      2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
AC8H16OOH-C      2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
BC8H16OOH-A      2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
BC8H16OOH-D      2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
CC8H16OOH-A      2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
DC8H16OOH-B      2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
DC8H16OOH-C      2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
AC8H16OOH-BO2    2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
BC8H16OOH-AO2    2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
BC8H16OOH-DO2    2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
CC8H16OOH-AO2    2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
DC8H16OOH-BO2    2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
IC8ETERAB        2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
IC8ETERAC        2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
IC8ETERBD        2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
IC8KETAB         2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
IC8KETBA         2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
IC8KETBD         2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
IC8KETDB         2   581.300    6.506    2.000    0.000    1.000 !   WJP, C8H17OH-1
IC3H7COC3H6-T    2   561.000    6.317    1.700    0.000    1.000 !   1C7H15OH WJP
TC4H9COC2H4S     2   561.000    6.317    1.700    0.000    1.000 !   1C7H15OH WJP
BC6H12           2   430.100    5.833    0.000    0.000    1.000 !   WJP, 2-METHYL-2-PENTENE, TCPC, POLING 4TH ED.
NEOC5H11O2       2   357.800    5.550    0.000    0.000    1.000 !   WJP, NEO-PENTANE (NEOC5H12)
