! Base TRANSPORT mechanism (Wang's model)
!A REDUCED KINETIC TOLUENE REFERENCE FUEL CHEMICAL KINETIC MECHANISM FOR COMBUSTION AND POLY-AROMATIC HYDROCARBON PREDICTIONS
!HU WANG, MINGFA YAO, ZONGYU YUE, MING JIA AND ROLF D. REITZ
!SUBMITTED TO COMBUSTION AND FLAME

TRANSPORT
!============================================================
! Transport property is mainly depedent to Molecular weight
! Manually imported based on the molecular structure (CxHyOz)
!
!------------------------------------------------------------
!!! [Source: WANG] !!!
!------------------------------------------------------------

! [ C7 H16 ]
!!!NC7H16 2 459.6 6.253 0.0 0.0 1.0
C7H16     2 459.6 6.253 0.0 0.0 1.0

! [ C1 H4 O2 ]
!!!CH3O2H 2 481.8 3.626 0.0 0.0 1.0
CH4O2     2 481.8 3.626 0.0 0.0 1.0

! [ C7 H15 ]
!!!C7H15-2 2 459.6 6.253 0.0 0.0 1.0
C7H15-1    2 459.6 6.253 0.0 0.0 1.0

! [ C4 H9 ]
!!!TC4H9 2 352.0 5.24 0.0 0.0 1.0
C4H9     2 352.0 5.24 0.0 0.0 1.0

! [ C3 H7 ]
!!! NC3H7 2 303.4 4.81 0.0 0.0 1.0
C3H7      2 303.4 4.81 0.0 0.0 1.0

!------------------------------------------------------------
! [Source: LLNL n-heptane 2012]
!------------------------------------------------------------
! [ C7 H15 O2 ]
! C7H15O2-1             2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H15O2                 2   561.0   6.317   1.7 0.0 1.0 !   WJP
C7H14O2H                2   561.0   6.317   1.7 0.0 1.0 !   WJP

! [C7 H14 O3]
! C7H14OOH2-5O2         2   600.6   7.229   1.8 0.0 1.0 !   NC10H22O WJP
C7H14O2HO2              2   600.6   7.229   1.8 0.0 1.0 !   NC10H22O WJP

! NC7KET24              2   581.3   6.506   2.0 0.0 1.0 !   1C8H17OH WJP
C7KET12                 2   581.3   6.506   2.0 0.0 1.0 !   1C8H17OH WJP

! [ C6 H12 O1 ]
! C6H12O1-2             2   537.467     5.643     0.000     0.000     0.000    !FLAMEMASTER
C5H11CHO                2   537.467     5.643     0.000     0.000     0.000    !FLAMEMASTER

! [ C6 H11 O1 ]
! C6H11O1-3             2   541.5   5.674   1.8 0.0 1.0 !   1C6H13OH WJP
C5H11CO                 2   541.5   5.674   1.8 0.0 1.0 !   1C6H13OH WJP

! [ C5 H11 ]
! C5H11-1               2   523.2   5.664   1.7 0.0 1.0 !   WJP
C5H11                   2   523.2   5.664   1.7 0.0 1.0 !   WJP
!============================================================
! Below is the original Wang's transport
DTBP 2 393.843 7.098 0.0 0.0 1.0
H 0 145.0 2.05 0.0 0.0 0.0
